"","temp","prec","wet","lwnet","rsds","co2","Ks","Sf","w_pwp","w_fc","w_sat","hsg","tdiff_0","tdiff_15","tdiff_100","cond_pwp","cond_100","cond_100_ice"
"temp",1,0.426541725672111,-0.162779556114254,-0.341527171926105,0.768715116990969,0.0275187216423291,0.161032437906881,-0.137893204580712,0.306852666877445,0.228239928833802,0.305404120166439,-0.17539308876505,-0.358624849710142,-0.364662444437618,-0.360078866180206,-0.340744589351072,-0.348977943625001,-0.353042948653289
"prec",0.426541725672111,1,0.586397752368293,0.412380895402495,0.0467337621656374,-0.00396899291778293,-0.0851830205051461,-0.0196789201239213,0.310251581566835,0.212596988094451,0.132578444486182,-0.0962422727541765,-0.110517166988901,-0.119279109269298,-0.145466026661239,-0.0892603527368135,-0.159062611539218,-0.201344651639237
"wet",-0.162779556114254,0.586397752368293,1,0.723964010455676,-0.535307491572941,0.00720231736198134,-0.168564273256215,0.0703189186079377,0.131144718841114,0.101907157988075,0.00879243724475383,0.0136290603714513,0.039274663066344,0.0356009315955242,0.00910173491041029,0.0470229919940625,-0.00905614165261578,-0.0389731474727612
"lwnet",-0.341527171926105,0.412380895402495,0.723964010455676,1,-0.70218597041646,0.0222057962477885,-0.197633177493642,0.176165954100223,0.166501647465516,0.15785697143427,0.0433021233134448,-0.0667450544437763,0.0197332471750962,0.015115298084215,-0.0175541547244844,0.0280047613591856,-0.03947804323435,-0.0742663112440526
"rsds",0.768715116990969,0.0467337621656374,-0.535307491572941,-0.70218597041646,1,-0.0109933486967873,0.200836739801385,-0.205074157960037,0.0766523235579949,0.02070740274231,0.123873452675628,-0.111497480345702,-0.19195611895318,-0.192949747060634,-0.171666207347363,-0.185409763819982,-0.153165575397735,-0.138458317053216
"co2",0.0275187216423291,-0.00396899291778293,0.00720231736198134,0.0222057962477885,-0.0109933486967873,1,3.55980749130698e-10,-8.97195321901739e-10,-4.38998791755721e-09,1.52332835371275e-09,1.14863254424229e-08,3.5825990473551e-10,3.03481116737768e-09,-3.99582079697461e-09,2.46258309585749e-09,3.77136467145786e-09,4.04169508220194e-10,1.34801219297668e-08
"Ks",0.161032437906881,-0.0851830205051461,-0.168564273256215,-0.197633177493642,0.200836739801385,3.55980749130698e-10,1,-0.268166758157436,-0.351225128189384,-0.327500633451238,0.0205804074869023,-0.214490390309064,-0.264563418455731,-0.261358333816021,-0.135598519991417,-0.271000166126063,-0.0442077262893418,0.0492696382026327
"Sf",-0.137893204580712,-0.0196789201239213,0.0703189186079377,0.176165954100223,-0.205074157960037,-8.97195321901739e-10,-0.268166758157436,1,0.585100401470402,0.743053297649375,0.470355619151527,0.188251333854746,-0.318679308084435,-0.336074744745762,-0.408992157709802,-0.295937365184585,-0.449236007032375,-0.525140331397873
"w_pwp",0.306852666877445,0.310251581566835,0.131144718841114,0.166501647465516,0.0766523235579949,-4.38998791755721e-09,-0.351225128189384,0.585100401470402,1,0.928575980449521,0.654612395555146,-0.0885982590801169,-0.507516336229575,-0.532202390365582,-0.626683160566038,-0.454973926960078,-0.680241600472511,-0.800897745022402
"w_fc",0.228239928833802,0.212596988094451,0.101907157988075,0.15785697143427,0.02070740274231,1.52332835371275e-09,-0.327500633451238,0.743053297649375,0.928575980449521,1,0.823421156562204,-0.0103266249905564,-0.67515822236767,-0.694281815903571,-0.78177624747975,-0.640172323306006,-0.829292884757563,-0.90830410658472
"w_sat",0.305404120166439,0.132578444486182,0.00879243724475383,0.0433021233134448,0.123873452675628,1.14863254424229e-08,0.0205804074869023,0.470355619151527,0.654612395555146,0.823421156562204,1,-0.192913568648713,-0.962870024857369,-0.965363221476035,-0.988171608396655,-0.954980431117858,-0.994598880784018,-0.973395132173264
"hsg",-0.17539308876505,-0.0962422727541765,0.0136290603714513,-0.0667450544437763,-0.111497480345702,3.5825990473551e-10,-0.214490390309064,0.188251333854746,-0.0885982590801169,-0.0103266249905564,-0.192913568648713,1,0.269270418213211,0.264281457289041,0.231109165303517,0.263918706327731,0.211394617686384,0.189689468216552
"tdiff_0",-0.358624849710142,-0.110517166988901,0.039274663066344,0.0197332471750962,-0.19195611895318,3.03481116737768e-09,-0.264563418455731,-0.318679308084435,-0.507516336229575,-0.67515822236767,-0.962870024857369,0.269270418213211,1,0.999298333704173,0.986752004158045,0.997583351175801,0.968076848770745,0.91448218093045
"tdiff_15",-0.364662444437618,-0.119279109269298,0.0356009315955242,0.015115298084215,-0.192949747060634,-3.99582079697461e-09,-0.261358333816021,-0.336074744745762,-0.532202390365582,-0.694281815903571,-0.965363221476035,0.264281457289041,0.999298333704173,1,0.990028128443821,0.99473573339021,0.972477834758595,0.924187988533205
"tdiff_100",-0.360078866180206,-0.145466026661239,0.00910173491041029,-0.0175541547244844,-0.171666207347363,2.46258309585749e-09,-0.135598519991417,-0.408992157709802,-0.626683160566038,-0.78177624747975,-0.988171608396655,0.231109165303517,0.986752004158045,0.990028128443821,1,0.977873401742082,0.995408177803425,0.966227035592973
"cond_pwp",-0.340744589351072,-0.0892603527368135,0.0470229919940625,0.0280047613591856,-0.185409763819982,3.77136467145786e-09,-0.271000166126063,-0.295937365184585,-0.454973926960078,-0.640172323306006,-0.954980431117858,0.263918706327731,0.997583351175801,0.99473573339021,0.977873401742082,1,0.956860312807166,0.892339440810374
"cond_100",-0.348977943625001,-0.159062611539218,-0.00905614165261578,-0.03947804323435,-0.153165575397735,4.04169508220194e-10,-0.0442077262893418,-0.449236007032375,-0.680241600472511,-0.829292884757563,-0.994598880784018,0.211394617686384,0.968076848770745,0.972477834758595,0.995408177803425,0.956860312807166,1,0.983259327806786
"cond_100_ice",-0.353042948653289,-0.201344651639237,-0.0389731474727612,-0.0742663112440526,-0.138458317053216,1.34801219297668e-08,0.0492696382026327,-0.525140331397873,-0.800897745022402,-0.90830410658472,-0.973395132173264,0.189689468216552,0.91448218093045,0.924187988533205,0.966227035592973,0.892339440810374,0.983259327806786,1
